NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_52	ENSG00000171798	8229	0.0017639115685597062	0.5052691	No	
row_53	ENSG00000167703	10419	-7.166474824771285E-5	0.41526264	No	
row_54	ENSG00000151692	13023	-0.0011518662795424461	0.30848017	No	
row_55	ENSG00000141150	15600	-0.003483901731669903	0.2033474	No	
row_56	ENSG00000145020	15937	-0.003909611143171787	0.1904335	No	
row_57	ENSG00000127249	16396	-0.004552097525447607	0.17265092	No	
row_58	ENSG00000100600	16969	-0.005487419199198484	0.15039638	No	
row_59	ENSG00000186510	17152	-0.00584646500647068	0.14426368	No	
row_60	ENSG00000170837	17226	-0.005967417731881142	0.14264162	No	
row_61	ENSG00000159307	17429	-0.006373548414558172	0.13580832	No	
row_62	ENSG00000099864	17989	-0.007666715420782566	0.11459241	No	
row_63	ENSG00000070669	18006	-0.007694154512137175	0.11571381	No	
row_64	ENSG00000221890	18222	-0.008150164969265461	0.108756766	No	
row_65	ENSG00000159640	18425	-0.008641473948955536	0.10244797	No	
row_66	ENSG00000169174	18606	-0.009171419776976109	0.09716649	No	
row_67	ENSG00000092621	18721	-0.009471115656197071	0.09466858	No	
row_68	ENSG00000144485	18761	-0.009564775973558426	0.09527672	No	
row_69	ENSG00000165084	18773	-0.00959263276308775	0.097042814	No	
row_70	ENSG00000130720	18841	-0.009845603257417679	0.09656439	No	
row_71	ENSG00000128165	19096	-0.010615373030304909	0.08857359	No	
row_72	ENSG00000086967	19103	-0.010638582520186901	0.090787195	No	
row_73	ENSG00000173890	19281	-0.011198448948562145	0.086097874	No	
row_74	ENSG00000138185	19326	-0.011380400508642197	0.086920284	No	
row_75	ENSG00000114757	19479	-0.011915445327758789	0.08342491	No	
row_76	ENSG00000164237	19601	-0.012294208630919456	0.08129202	No	
row_77	ENSG00000138792	19609	-0.0123388497158885	0.083857715	No	
row_78	ENSG00000158457	19845	-0.013174612075090408	0.07724016	No	
row_79	ENSG00000109265	19882	-0.013298282399773598	0.078835115	No	
row_80	ENSG00000186868	20031	-0.013815217651426792	0.0759436	No	
row_81	ENSG00000182704	20239	-0.014693336561322212	0.07082878	No	
row_82	ENSG00000135472	20680	-0.016688743606209755	0.05659326	No	
row_83	ENSG00000123983	20735	-0.0169305931776762	0.058287997	No	
row_84	ENSG00000167588	20928	-0.017929572612047195	0.054538492	No	
row_85	ENSG00000101204	21288	-0.02002848871052265	0.04440649	No	
row_86	ENSG00000123643	21423	-0.02088594250380993	0.043725956	No	
row_87	ENSG00000226608	21603	-0.022107606753706932	0.041477323	No	
row_88	ENSG00000133134	21649	-0.02235550247132778	0.04479679	No	
row_89	ENSG00000101638	21671	-0.0224931538105011	0.0491351	No	
row_90	ENSG00000187840	21703	-0.022681910544633865	0.05310581	No	
row_91	ENSG00000114948	21717	-0.022757643833756447	0.057834286	No	
row_92	ENSG00000149809	21824	-0.023557286709547043	0.058923054	No	
row_93	ENSG00000103257	21858	-0.023739516735076904	0.063056104	No	
row_94	ENSG00000162073	21945	-0.02442091889679432	0.06516711	No	
row_95	ENSG00000182871	21948	-0.024447226896882057	0.0707387	No	
row_96	ENSG00000134824	22116	-0.02596065029501915	0.06987466	No	
row_97	ENSG00000149485	22679	-0.031181247904896736	0.053973515	No	
row_98	ENSG00000132746	22934	-0.03412488475441933	0.051419694	No	
row_99	ENSG00000166813	23339	-0.04084310308098793	0.044250805	No	
